Player,Team,Position,Age,Date.of.Birth,Birth.City,Birth.State.Province,Birth.Country,Nationality,Height..in.,Weight..lbs.,Draft.Year,Draft.Team,Draft.Round,Round.Pick,Overall.Draft.Position
DRAYSON.BOWMAN,CAR,L,29,1989-03-08,Grand Rapids,MI,USA,USA,73,195,2007,CAR,3,11,72
DREW.LARMAN,BOS,C,33,1985-05-15,Buffalo,NY,USA,USA,75,195,-,-,-,-,-
DREW.MILLER,DET,L,34,1984-02-17,Dover,NJ,USA,USA,74,183,2003,ANA,6,19,186
DREW.MILLER,T.B,L,34,1984-02-17,Dover,NJ,USA,USA,74,183,2003,ANA,6,19,186
DUSTIN.BOYD,NSH,C,32,1986-07-16,Winnipeg,MB,CAN,CAN,72,187,2004,CGY,3,33,98
DUSTIN.KOHN,NYI,D,31,1987-02-02,Edmonton,AB,CAN,CAN,73,200,2005,NYI,2,16,46
DWIGHT.HELMINEN,S.J,C,35,1983-06-22,Hancock,MI,USA,USA,70,191,2002,EDM,8,15,244
DYLAN.REESE,NYI,D,34,1984-08-29,Pittsburgh,PA,USA,USA,73,205,2003,NYR,7,12,209
ENVER.LISIN,NYR,R,32,1986-04-22,Moscow,,RUS,RUS,74,200,2004,PHX,2,20,50
ERIC.BELANGER,WSH,C,40,1977-12-16,Sherbrooke,QC,CAN,CAN,71,185,1996,L.A,4,16,96
ERIC.TANGRADI,PIT,L,29,1989-02-10,Philadelphia,PA,USA,USA,76,226,2007,ANA,2,12,42
ERIK.CHRISTENSEN,NYR,C,34,1983-12-17,Edmonton,AB,CAN,CAN,73,200,2002,PIT,3,6,69
ERIK.KARLSSON,OTT,D,28,1990-05-31,Landsbro,,SWE,SWE,72,191,2008,OTT,1,15,15
EVAN.OBERG,VAN,D,30,1988-02-16,Forestburg,AB,CAN,CAN,72,191,-,-,-,-,-
EVANDER.KANE,ATL,L,27,1991-08-02,Vancouver,BC,CAN,CAN,74,212,2009,ATL,1,4,4
EVGENY.ARTYUKHIN,ANA,R,35,1983-04-04,Moscow,,RUS,RUS,76,255,2001,T.B,3,31,94
EVGENY.ARTYUKHIN,ATL,R,35,1983-04-04,Moscow,,RUS,RUS,76,255,2001,T.B,3,31,94
EVGENY.DADONOV,FLA,L,29,1989-03-12,Chelyabinsk,,RUS,RUS,71,185,2007,FLA,3,10,71
FRANCIS.BOUILLON,NSH,D,42,1975-10-17,New York City,NY,USA,USA,68,194,-,-,-,-,-
FRANCIS.WATHIER,DAL,L,33,1984-12-07,St. Isidore,ON,CAN,CAN,76,210,2003,DAL,6,18,185
FRANCOIS.BEAUCHEMIN,TOR,D,38,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,MTL,3,17,75
FRAZER.MCLAREN,S.J,L,30,1987-10-29,Winnipeg,MB,CAN,CAN,77,230,2007,S.J,7,22,203
FREDDY.MODIN,L.A,L,43,1974-10-08,Sundsvall,,SWE,SWE,76,220,1994,TOR,3,12,64
FREDRIK.SJOSTROM,CGY,L,35,1983-05-06,Färgelanda,,SWE,SWE,73,218,2001,PHX,1,11,11
FREDRIK.SJOSTROM,TOR,L,35,1983-05-06,Färgelanda,,SWE,SWE,73,218,2001,PHX,1,11,11
GARNET.EXELBY,TOR,D,37,1981-08-16,Craik,SK,CAN,CAN,73,215,1999,ATL,8,2,217
GRANT.CLITSOME,CBJ,D,33,1985-04-14,Gloucester,ON,CAN,CAN,71,211,2004,CBJ,9,13,271
GREG.MAULDIN,NYI,L,36,1982-06-10,Boston,MA,USA,USA,71,195,2002,,7,0,199
GREG.MOORE,CBJ,R,34,1984-03-26,Lisbon,ME,USA,USA,73,225,2003,CGY,5,7,143
GREG.ZANON,MIN,D,38,1980-06-05,Burnaby,BC,CAN,CAN,71,201,2000,OTT,5,26,156
GUILLAUME.DESBIENS,VAN,R,33,1985-04-20,Alma,QC,CAN,CAN,74,210,2003,ATL,4,15,116
GUILLAUME.LATENDRESSE,MIN,L,31,1987-05-24,Ste-Catherine,QC,CAN,CAN,74,230,2005,MTL,2,15,45
GUILLAUME.LEFEBVRE,BOS,L,37,1981-05-07,Amos,QC,CAN,CAN,73,200,2000,PHI,7,30,227
HAL.GILL,MTL,D,43,1975-04-06,Concord,MA,USA,USA,79,243,1993,BOS,8,25,207
IAN.LAPERRIERE,PHI,R,44,1974-01-19,Montreal,QC,CAN,CAN,73,200,1992,STL,7,14,158
IAN.WHITE,CGY,D,34,1984-06-04,Steinbach,MB,CAN,CAN,70,191,2002,TOR,6,25,191
ILKKA.HEIKKINEN,NYR,D,33,1984-11-13,Rauma,,FIN,FIN,74,205,-,-,-,-,-
ILKKA.PIKKARAINEN,N.J,R,37,1981-04-19,Sonkajärvi,,FIN,FIN,74,215,2002,N.J,7,21,218
ILYA.KOVALCHUK,N.J,R,35,1983-04-15,Tver,,RUS,RUS,75,230,2001,ATL,1,1,1
JAIME.SIFERS,MIN,D,35,1983-01-18,Stratford,CT,USA,USA,71,198,-,-,-,-,-
JAKUB.KINDL,DET,D,31,1987-02-10,Sumperk,,CZE,CZE,75,199,2005,DET,1,19,19
JAMAL.MAYERS,CGY,R,43,1974-10-24,Toronto,ON,CAN,CAN,73,222,1993,STL,4,11,89
JAMES.NEAL,DAL,"L, R",31,1987-09-03,Whitby,ON,CAN,CAN,74,221,2005,DAL,2,3,33
JAMES.VAN.RIEMSDYK,PHI,L,29,1989-05-04,Middletown,NJ,USA,USA,75,217,2007,PHI,1,2,2
JAMES.WRIGHT,T.B,C,28,1990-03-24,Saskatoon,SK,CAN,CAN,76,210,2008,T.B,4,26,117
JAMIE.BENN,DAL,L,29,1989-07-18,Victoria,BC,CAN,CAN,74,209,2007,DAL,5,8,129
